날짜,업종,수요량(MJ),기온(°C),조업여부,요일
2023-01-01,철강·금속,1969.4,4.4,휴무,일
2023-01-02,철강·금속,6910.3,5.4,조업,월
2023-01-03,철강·금속,6841.3,3.9,조업,화
2023-01-04,철강·금속,6751.8,5.5,조업,수
2023-01-05,철강·금속,6977.3,3.0,조업,목
2023-01-06,철강·금속,7485.2,3.1,조업,금
2023-01-07,철강·금속,2104.9,6.0,휴무,토
2023-01-08,철강·금속,2176.2,5.5,휴무,일
2023-01-09,철강·금속,6937.7,4.4,조업,월
2023-01-10,철강·금속,7195.2,4.6,조업,화
2023-01-11,철강·금속,7099.2,2.3,조업,수
2023-01-12,철강·금속,7620.1,3.3,조업,목
2023-01-13,철강·금속,7420.5,7.8,조업,금
2023-01-14,철강·금속,2027.3,4.7,휴무,토
2023-01-15,철강·금속,1950.7,5.0,휴무,일
2023-01-16,철강·금속,6927.9,4.7,조업,월
2023-01-17,철강·금속,7078.3,8.2,조업,화
2023-01-18,철강·금속,6913.6,7.1,조업,수
2023-01-19,철강·금속,7220.0,3.7,조업,목
2023-01-20,철강·금속,6884.6,2.7,조업,금
2023-01-21,철강·금속,2174.1,0.2,휴무,토
2023-01-22,철강·금속,2104.4,3.5,휴무,일
2023-01-23,철강·금속,7119.1,6.1,조업,월
2023-01-24,철강·금속,6678.3,5.3,조업,화
2023-01-25,철강·금속,6649.4,7.9,조업,수
2023-01-26,철강·금속,6550.9,3.9,조업,목
2023-01-27,철강·금속,6817.8,9.5,조업,금
2023-01-28,철강·금속,2038.1,2.5,휴무,토
2023-01-29,철강·금속,2065.8,4.4,휴무,일
2023-01-30,철강·금속,7358.2,5.4,조업,월
2023-01-31,철강·금속,7211.6,4.1,조업,화
2023-02-01,철강·금속,6832.8,5.6,조업,수
2023-02-02,철강·금속,6903.9,7.9,조업,목
2023-02-03,철강·금속,6807.6,6.1,조업,금
2023-02-04,철강·금속,2028.8,8.9,휴무,토
2023-02-05,철강·금속,1818.8,8.5,휴무,일
2023-02-06,철강·금속,6672.7,8.7,조업,월
2023-02-07,철강·금속,6273.6,6.2,조업,화
2023-02-08,철강·금속,6293.0,9.4,조업,수
2023-02-09,철강·금속,6798.6,5.2,조업,목
2023-02-10,철강·금속,6185.3,7.7,조업,금
2023-02-11,철강·금속,1864.3,8.1,휴무,토
2023-02-12,철강·금속,1972.4,6.6,휴무,일
2023-02-13,철강·금속,6380.7,7.3,조업,월
2023-02-14,철강·금속,6181.3,8.7,조업,화
2023-02-15,철강·금속,6532.1,7.2,조업,수
2023-02-16,철강·금속,6475.2,9.3,조업,목
2023-02-17,철강·금속,6849.5,5.8,조업,금
2023-02-18,철강·금속,1901.2,8.6,휴무,토
2023-02-19,철강·금속,2026.9,7.9,휴무,일
2023-02-20,철강·금속,6567.1,9.1,조업,월
2023-02-21,철강·금속,6514.3,5.6,조업,화
2023-02-22,철강·금속,6325.8,8.7,조업,수
2023-02-23,철강·금속,6446.0,6.2,조업,목
2023-02-24,철강·금속,6642.0,4.9,조업,금
2023-02-25,철강·금속,2006.8,9.3,휴무,토
2023-02-26,철강·금속,1956.9,7.9,휴무,일
2023-02-27,철강·금속,6215.6,6.2,조업,월
2023-02-28,철강·금속,6729.5,5.4,조업,화
2023-03-01,철강·금속,5450.5,13.4,조업,수
2023-03-02,철강·금속,5351.8,13.0,조업,목
2023-03-03,철강·금속,5357.9,12.5,조업,금
2023-03-04,철강·금속,1750.5,11.8,휴무,토
2023-03-05,철강·금속,1699.1,9.9,휴무,일
2023-03-06,철강·금속,5414.9,15.4,조업,월
2023-03-07,철강·금속,6003.7,17.0,조업,화
2023-03-08,철강·금속,5662.9,12.6,조업,수
2023-03-09,철강·금속,5579.2,13.3,조업,목
2023-03-10,철강·금속,5353.8,12.5,조업,금
2023-03-11,철강·금속,1600.2,14.9,휴무,토
2023-03-12,철강·금속,1662.4,15.2,휴무,일
2023-03-13,철강·금속,6003.2,11.3,조업,월
2023-03-14,철강·금속,5750.9,15.1,조업,화
2023-03-15,철강·금속,5688.8,10.3,조업,수
2023-03-16,철강·금속,5923.4,8.5,조업,목
2023-03-17,철강·금속,5720.5,9.8,조업,금
2023-03-18,철강·금속,1629.7,13.0,휴무,토
2023-03-19,철강·금속,1637.7,12.9,휴무,일
2023-03-20,철강·금속,5384.5,13.3,조업,월
2023-03-21,철강·금속,5602.3,13.3,조업,화
2023-03-22,철강·금속,5691.9,12.8,조업,수
2023-03-23,철강·금속,5702.3,10.7,조업,목
2023-03-24,철강·금속,5355.6,15.2,조업,금
2023-03-25,철강·금속,1739.3,13.4,휴무,토
2023-03-26,철강·금속,1656.4,14.0,휴무,일
2023-03-27,철강·금속,5600.4,13.2,조업,월
2023-03-28,철강·금속,5496.6,13.0,조업,화
2023-03-29,철강·금속,5836.4,11.4,조업,수
2023-03-30,철강·금속,5467.1,13.9,조업,목
2023-03-31,철강·금속,5588.3,11.9,조업,금
2023-04-01,철강·금속,1477.8,21.2,휴무,토
2023-04-02,철강·금속,1456.7,18.8,휴무,일
2023-04-03,철강·금속,4870.9,19.3,조업,월
2023-04-04,철강·금속,4968.0,21.0,조업,화
2023-04-05,철강·금속,5554.6,19.8,조업,수
2023-04-06,철강·금속,4936.5,19.2,조업,목
2023-04-07,철강·금속,4891.0,17.9,조업,금
2023-04-08,철강·금속,1590.4,14.5,휴무,토
2023-04-09,철강·금속,1437.9,23.0,휴무,일
2023-04-10,철강·금속,5424.5,20.1,조업,월
2023-04-11,철강·금속,5061.3,20.9,조업,화
2023-04-12,철강·금속,4744.8,18.7,조업,수
2023-04-13,철강·금속,4903.3,16.0,조업,목
2023-04-14,철강·금속,5285.9,23.9,조업,금
2023-04-15,철강·금속,1396.5,21.7,휴무,토
2023-04-16,철강·금속,1559.3,19.0,휴무,일
