날짜,지역,수요량(MJ),기온(°C),요일
2023-01-01,안동,2681.3,6.0,일
2023-01-02,안동,3228.5,6.3,월
2023-01-03,안동,2964.9,4.5,화
2023-01-04,안동,3115.1,8.2,수
2023-01-05,안동,3081.4,4.1,목
2023-01-06,안동,2930.1,4.1,금
2023-01-07,안동,2441.7,5.5,토
2023-01-08,안동,2624.1,1.6,일
2023-01-09,안동,3047.1,3.0,월
2023-01-10,안동,2788.2,3.2,화
2023-01-11,안동,2966.1,7.9,수
2023-01-12,안동,2786.3,5.1,목
2023-01-13,안동,3016.6,3.9,금
2023-01-14,안동,2750.7,2.7,토
2023-01-15,안동,2660.6,3.8,일
2023-01-16,안동,3277.8,3.8,월
2023-01-17,안동,2841.3,5.0,화
2023-01-18,안동,2816.9,6.6,수
2023-01-19,안동,2706.0,5.4,목
2023-01-20,안동,3029.5,2.3,금
2023-01-21,안동,2723.1,6.5,토
2023-01-22,안동,2659.4,4.8,일
2023-01-23,안동,2892.0,2.0,월
2023-01-24,안동,3158.6,4.1,화
2023-01-25,안동,2735.5,5.7,수
2023-01-26,안동,2942.2,5.6,목
2023-01-27,안동,3091.8,3.6,금
2023-01-28,안동,2825.7,7.1,토
2023-01-29,안동,2658.3,3.3,일
2023-01-30,안동,3146.3,5.7,월
2023-01-31,안동,2972.2,4.0,화
2023-02-01,안동,2594.9,4.8,수
2023-02-02,안동,2947.2,8.6,목
2023-02-03,안동,2898.5,6.9,금
2023-02-04,안동,2403.9,7.7,토
2023-02-05,안동,2675.0,7.7,일
2023-02-06,안동,2975.9,6.9,월
2023-02-07,안동,2873.4,1.8,화
2023-02-08,안동,2718.7,7.2,수
2023-02-09,안동,2485.7,7.2,목
2023-02-10,안동,2809.3,6.6,금
2023-02-11,안동,2419.6,10.0,토
2023-02-12,안동,2421.7,5.4,일
2023-02-13,안동,2805.4,8.8,월
2023-02-14,안동,2830.8,6.0,화
2023-02-15,안동,2893.7,7.2,수
2023-02-16,안동,2714.8,5.6,목
2023-02-17,안동,2558.0,6.2,금
2023-02-18,안동,2516.4,7.6,토
2023-02-19,안동,2454.9,7.0,일
2023-02-20,안동,2702.0,4.2,월
2023-02-21,안동,2649.3,6.3,화
2023-02-22,안동,2815.8,6.7,수
2023-02-23,안동,2784.1,10.8,목
2023-02-24,안동,2749.7,7.5,금
2023-02-25,안동,2480.7,3.2,토
2023-02-26,안동,2789.9,7.1,일
2023-02-27,안동,2801.6,6.6,월
2023-02-28,안동,2598.7,6.9,화
2023-03-01,안동,1992.2,14.8,수
2023-03-02,안동,1832.7,14.1,목
2023-03-03,안동,1785.4,15.3,금
2023-03-04,안동,1917.3,13.7,토
2023-03-05,안동,1679.1,10.5,일
2023-03-06,안동,1871.7,12.7,월
2023-03-07,안동,1926.6,9.4,화
2023-03-08,안동,1965.5,10.4,수
2023-03-09,안동,2068.8,10.7,목
2023-03-10,안동,1889.1,10.9,금
2023-03-11,안동,1621.7,14.1,토
2023-03-12,안동,1840.9,13.0,일
2023-03-13,안동,1937.7,9.3,월
2023-03-14,안동,1995.1,13.0,화
2023-03-15,안동,1793.2,10.0,수
2023-03-16,안동,1948.5,13.5,목
2023-03-17,안동,1953.3,13.0,금
2023-03-18,안동,1748.1,11.1,토
2023-03-19,안동,1666.3,13.1,일
2023-03-20,안동,1965.5,16.2,월
2023-03-21,안동,1983.0,10.1,화
2023-03-22,안동,1995.6,10.6,수
2023-03-23,안동,1841.2,14.8,목
2023-03-24,안동,1959.6,14.4,금
2023-03-25,안동,1891.9,14.1,토
2023-03-26,안동,1662.9,12.0,일
2023-03-27,안동,1841.7,10.7,월
2023-03-28,안동,1952.8,12.3,화
2023-03-29,안동,1999.4,13.1,수
2023-03-30,안동,2059.5,12.5,목
2023-03-31,안동,2181.1,12.0,금
2023-04-01,안동,1137.1,21.3,토
2023-04-02,안동,1216.7,17.9,일
2023-04-03,안동,1367.1,19.6,월
2023-04-04,안동,1315.2,20.9,화
2023-04-05,안동,1220.0,18.3,수
2023-04-06,안동,1376.5,19.1,목
2023-04-07,안동,1237.8,20.4,금
2023-04-08,안동,1210.9,20.3,토
2023-04-09,안동,1197.1,18.2,일
2023-04-10,안동,1244.6,20.1,월
2023-04-11,안동,1357.0,20.7,화
2023-04-12,안동,1389.6,22.2,수
2023-04-13,안동,1258.1,17.2,목
2023-04-14,안동,1353.9,21.0,금
2023-04-15,안동,1416.9,21.0,토
2023-04-16,안동,1255.5,21.1,일
2023-04-17,안동,1363.0,21.9,월
2023-04-18,안동,1370.1,19.4,화
2023-04-19,안동,1304.4,18.5,수
2023-04-20,안동,1325.4,19.0,목
2023-04-21,안동,1196.8,24.6,금
2023-04-22,안동,1092.2,21.4,토
2023-04-23,안동,1252.7,19.1,일
2023-04-24,안동,1248.9,20.1,월
2023-04-25,안동,1364.9,18.6,화
2023-04-26,안동,1334.3,18.5,수
2023-04-27,안동,1277.0,20.1,목
2023-04-28,안동,1361.8,24.3,금
2023-04-29,안동,1199.1,15.9,토
2023-04-30,안동,1238.6,18.7,일
2023-05-01,안동,954.5,25.9,월
2023-05-02,안동,1001.6,28.5,화
2023-05-03,안동,943.9,25.1,수
2023-05-04,안동,928.6,26.6,목
2023-05-05,안동,979.4,31.0,금
2023-05-06,안동,903.7,25.0,토
2023-05-07,안동,908.6,31.7,일
2023-05-08,안동,936.8,24.5,월
2023-05-09,안동,926.0,30.0,화
2023-05-10,안동,997.2,28.4,수
2023-05-11,안동,957.1,25.6,목
2023-05-12,안동,910.8,21.0,금
2023-05-13,안동,810.1,27.0,토
2023-05-14,안동,802.2,30.8,일
2023-05-15,안동,966.3,26.6,월
2023-05-16,안동,891.1,30.4,화
2023-05-17,안동,960.5,29.8,수
2023-05-18,안동,982.2,25.5,목
2023-05-19,안동,931.2,27.9,금
2023-05-20,안동,847.4,27.6,토
2023-05-21,안동,892.6,27.7,일
2023-05-22,안동,900.6,30.7,월
2023-05-23,안동,866.3,31.8,화
2023-05-24,안동,988.2,27.2,수
2023-05-25,안동,930.1,28.1,목
2023-05-26,안동,936.3,27.1,금
2023-05-27,안동,900.7,26.3,토
2023-05-28,안동,834.1,28.2,일
2023-05-29,안동,974.8,29.3,월
2023-05-30,안동,990.2,29.1,화
2023-05-31,안동,933.1,25.8,수
2023-06-01,안동,618.3,34.5,목
2023-06-02,안동,603.5,32.9,금
2023-06-03,안동,524.0,35.5,토
2023-06-04,안동,534.5,34.1,일
2023-06-05,안동,633.0,32.6,월
2023-06-06,안동,624.4,34.6,화
2023-06-07,안동,600.6,35.6,수
2023-06-08,안동,590.7,34.4,목
2023-06-09,안동,596.1,33.6,금
2023-06-10,안동,556.1,33.2,토
2023-06-11,안동,596.5,31.4,일
2023-06-12,안동,563.6,31.0,월
2023-06-13,안동,623.7,35.3,화
2023-06-14,안동,618.9,34.2,수
2023-06-15,안동,573.1,33.0,목
2023-06-16,안동,579.7,33.1,금
2023-06-17,안동,536.0,34.9,토
2023-06-18,안동,531.3,31.3,일
2023-06-19,안동,583.1,33.8,월
2023-06-20,안동,607.3,31.3,화
2023-06-21,안동,584.8,33.5,수
2023-06-22,안동,607.0,32.0,목
2023-06-23,안동,557.8,30.1,금
2023-06-24,안동,534.2,31.6,토
2023-06-25,안동,579.8,33.6,일
2023-06-26,안동,595.2,34.7,월
2023-06-27,안동,569.9,33.0,화
2023-06-28,안동,591.3,33.0,수
2023-06-29,안동,575.2,33.6,목
2023-06-30,안동,646.0,34.0,금
2023-07-01,안동,440.7,34.8,토
2023-07-02,안동,423.3,36.4,일
2023-07-03,안동,480.3,35.4,월
2023-07-04,안동,461.4,35.2,화
2023-07-05,안동,492.0,35.0,수
2023-07-06,안동,503.0,37.9,목
2023-07-07,안동,461.6,39.3,금
2023-07-08,안동,436.0,36.7,토
2023-07-09,안동,414.5,39.4,일
2023-07-10,안동,465.6,33.3,월
2023-07-11,안동,467.4,30.8,화
2023-07-12,안동,483.6,33.5,수
2023-07-13,안동,525.0,35.7,목
2023-07-14,안동,466.2,36.9,금
2023-07-15,안동,442.6,33.2,토
